, article, url,title
0,"Washington has chosen to start 2020 by bringing its already strained relations with Iran to a whole new level of confrontation as it ordered the killing of one of Tehran’s top generals Qassem Soleimani. The high-profile assassination is bound to make things difficult for the State Department. And that’s not to mention that it is far from being the only problem Pompeo and his staff have on their hands. Yet instead of seeking to revive stalled denuclearization talks with North Korea or soothing the ruffled feathers of European NATO allies the secretary of state plans to visit several former Soviet republics: Belarus Ukraine Uzbekistan and Kazakhstan in the vast Central Asian steppes. Most Americans may be forgiven for ""knowing"" about Kazakhstan via English comedian Sasha Baron Cohen’s 2006 movie 'Borat' which actually has nothing to do with the country and is sort of offensive to bring up there. The Central Asian nation independent since 1991 has signed treaties on cooperation with both the US and NATO while maintaining cordial relations with Moscow and Beijing. So what awaits Pompeo in Nur-Sultan formerly Astana Kazakhstan's capital recently renamed in honor of its first president? The level of interaction between Washington and Nur-Sultan was “stable but relatively weak” Vladimir Batyuk a senior fellow at the Russian Institute for the US and Canadian Studies told RT. “Their common arrangements have been usually limited to some low-level meetings.” America’s renewed interest to Kazakhstan might be a result of the recent developments in nearby Afghanistan where the 18-year-long war is showing no sign of ending well for Washington. President Donald Trump's promise to pull out of America's longest war was thwarted at the very beginning of his administration by hawkish establishment advisers. Later he abruptly canceled peace talks with the Taliban militants when a peace deal seemed within reach. Recent reports that US generals and officials had known for years that the war in Afghanistan was unwinnable may help nudge Washington into actually calling it quits however. That is not to say the US has given up on the dream of having a base in the region though and Kazakhstan may seem like a good prospect to some in Foggy Bottom. “Now they would need Central Asia as its base of operations” Aleksey Pilko director of the Eurasian Communications Center told RT. US withdrawal from Afghanistan is almost guaranteed to result in the resurgence of the Taliban. The hardline Islamist militants already control much of the country. Washington may seek to expand its influence in neighboring countries by bringing up potential security issues and counter-terrorism cooperation. However a withdrawal from Afghanistan is also likely to weaken the US position in the region and make it that much more difficult to position itself as a security provider for Central Asian nations Pilko believes. Kazakhstan is a major regional power and the biggest state in Central Asia at one time contributing 60 percent of the regional GDP. It is also a major uranium exporter and has significant oil and gas reserves. These facts alone could be enough for Washington to turn its eye to Nur-Sultan. What might be equally important is that Kazakhstan is conveniently located between Washington's two major geopolitical adversaries – China and Russia – which makes it a very valuable piece in the geostrategic puzzle. In fact Washington has indeed become conspicuously interested in “strengthening bilateral relations” with Nur-Sultan after longstanding Kazakh President Nursultan Nazarbayev – a close ally and friend of Russia’s Vladimir Putin – stepped down to give way to a younger national leader. “Kazakhstan is a key state in the region so it is no wonder that the US state secretary pays a visit there” Pilko explained. “The Kazakh leadership has changed… Now the US sees a need to sound out the situation and talk to the former and the current presidents to find out what is happening and what the new leader’s policy will be.” Pompeo has already given a warm welcome to the Kazakh Foreign Minister Mukhtar Tleuberdi in Washington in mid-December and claimed on Twitter that the “strategic partnership” between the two nations “has never been stronger.” The State Department then rushed to laud growing commercial ties between the US and Kazakhstan as well as President Kassym-Jomart Tokayev’s “ambitious reform agenda” adding that the “human rights crisis” in neighboring Chinese Xinjiang and “lasting peace” in Afghanistan were also discussed during the meeting. It is on Tleuberdi’s invitation that Pompeo is now planning to arrive to Kazakhstan. Little is officially known about this supposed trip so far however with most news coming from Kazakh officials. ""The program will be eventful” Kazakh Foreign Ministry spokesman Aybek Smadiyarov told journalists in early December. Other reports suggested that Pompeo will unveil nothing less than a new US strategy for Central Asia during the visit. Washington might have good reasons to approach Kazakhstan. However whether it has the means to achieve its goals is another matter entirely. Even if Pompeo plays the US security assistance card during his visit it is unclear whether that will be enough to sway the local establishment’s opinions in favor of Washington’s plans for the region. Kazakhstan is already deeply integrated with Russia and several other former Soviet Republics both in economic and military fields. The nation is a member of the Collective Security Treaty Organization (CSTO) – an inter-governmental military alliance which also includes Russia Armenia Belarus and two of Kazakhstan’s Central Asian neighbors Kyrgyzstan and Tajikistan. The bloc is primarily tasked with fending off any military aggression against its members as well as fighting terrorism. Kazakhstan is also a member of the Eurasian Economic Union (EAEU) an economic integration body. The EAEU is roughly similar to the EU’s Common Market in that it allows free movement of goods services and people and sets out common policies in various fields of economy ranging from transport industry energy and agriculture to customs and investment. In addition to Russia and Kazakhstan it also includes Belarus Armenia and Kyrgyzstan. It is also worth noting that China and Russia - not the US - are Kazakhstan’s biggest trading partners. Almost 40 percent of Kazakhstan’s imports come from Russia with an additional 16 percent arriving from China. US goods by comparison amount to slightly more than four percent. China is also the second most important Kazakh export market while Russia is the fourth one. However meticulously Pompeo plans to study all the peculiarities of Kazakh politics during his upcoming visit Tokayev has already quite openly said that he would follow the steps of his predecessor in international relations which most likely means continued close cooperation with both Russia and China. The biggest obstacle to Pompeo’s potential diplomatic success might however lie not in Nur-Sultan but in Washington itself Batyuk believes. President Trump largely focuses on geo-economics in his foreign policy locking horns with adversaries and allies alike in his attempts to win extra trade preferences for the US. “It is economics that is important for Trump. In this regard Kazakhstan and Central Asia in general hardly have any place in his worldview at all. When the national leader does not exactly know what he wants from the region it is very difficult to develop any strategy here” the analyst said. Subscribe to RT newsletter to get stories the mainstream media won’t tell you. ", https://www.rt.com/news/477028-pompeo-visit-kazakhstan-geopolitical-reasons/,None
1,"The Joint Artificial Intelligence Center (JAIC) issued a request (RFI) late in December seeking the latest and greatest in AI and drone swarm tech – and looking for clever ideas on how to combine the two. The resulting smart-swarm the agency said should be self-directing able to find and track humans (“and manmade objects” the RFI specifies) on its own capable of streaming video of its activities and willing to nudge its minders (who won’t be minding it most of the time since it’s primarily AI-powered) when it has latched on to something interesting. The swarm will have to be able to move at least 50 knots (93 km/h) stay in the air for at least 2 hours and cover 100 square nautical miles (343 square km). The official purpose of the “smart swarm” is search and rescue the RFI explains while the JAIC program comprises four ""mission initiatives"" – ""predictive maintenance humanitarian aid and disaster relief and cyberspace and robotic process automation."" So where is number four? The RFI isn't telling but we can speculate based on what JAIC is known to do. The AI-specialist department which only debuted in 2018 ended up running Project Maven the initiative to weaponize machine-learning and Big Data that was supposedly rejected by Google after employees got cold feet about helping the Pentagon kill people. Project Maven has not only beefed up the quality of video input from tactical drones or used computing power to organize the mountains of data obtained through surveillance it has taught participants how to “use algorithms for war.”  Will a smart swarm capable of hunting humans with minimal outside direction – along the lines specified in the RFI – follow the rules and stick to search and rescue or will its AI confuse it with “search and destroy”? If the Pentagon’s humans can’t tell a civilian from a terrorist how are its drone swarms supposed to be able to? And even if the algorithms work just fine what’s to stop the humans in charge from using their new toys for killing? JAIC works with DARPA and other secretive high-level Pentagon agencies; if the US military were ever to develop a swarm of killer drones capable of operating without human input (they already have drone swarms that work with human guides) it would happen there. Before you think “but they wouldn’t dare” it would be exceedingly hard to prosecute an AI algorithm for war crimes especially one written in open source. We’ve seen this movie before literally. The “Hated in the Nation” episode of the techno-dystopian TV show Black Mirror features a swarm of autonomous drone “bees” who’ve taken the place of the real thing after a mass die-off; this digital hive proves hackable and every day a single solitary drone bee assassin is weaponized to kill whichever public figure garners the most social media hate. Bees lost at such a slow pace no matter the kamikaze drama of their last seconds mean the hive-minders never mind. The bee-masters in Black Mirror defend their creation by blustering about “military-grade” encryption insisting no one could ever hack their high-tech better-than-nature-made-them pollinators. By that point however someone already had.  Military-grade encryption is only as good as the backdoors deliberately installed in it and Attorney General William Barr and the whole Five Eyes intelligence network are intent on installing enough backdoors to keep them busy peeking through your private data for the rest of their lives. Once they do that everyone’s drone swarm – literally and figuratively – belongs to everyone else. If there was ever a time not to rush into manufacturing an apocalyptic technology it would be now.  Like this story? Share it with a friend!  ", https://www.rt.com/usa/477239-pentagon-ai-drone-swarms-bees/,None
2,"The 82nd’s alert brigade was ordered to deploy on Tuesday evening Fox News reported citing multiple Pentagon officials shortly before Defense Secretary Mark Esper confirmed the move. ""The United States will protect our people and interests anywhere they are found around the world"" Esper said announcing the deployment. The initial force has already departed Fort Bragg North Carolina on board C-17 transports. The Immediate Response Force (IRF) consists of an estimated 4000 soldiers of the 82nd Deployment Ready Brigade (DRB) whose three battalions can be fielded within 96 hours if needed. Hundreds of members of the Iraqi Shia militia Kataib Hezbollah stormed the US Embassy in Baghdad on Tuesday chanting “Death to America” and setting the entrance checkpoint on fire. They were protesting against US airstrikes that killed 25 of their members over the weekend in what the Pentagon said was retaliation for last week’s rocket strike at a US base in Kirkuk that killed one contractor. The militia withdrew after a task force of some 100 US Marines accompanied by attack helicopters showed up to reinforce the embassy. US President Donald Trump has blamed Iran for the attack and openly threatened Tehran with a “big price” to pay. There are currently 60000 US troops in the Middle East of which some 5000 are in Iraq. Almost 14000 of those have been added since May 2019 with the Pentagon citing a rising “threat” from Iran. In May 2018 the Trump administration unilaterally repudiated the nuclear deal negotiated with Tehran in 2015 and imposed sanctions intended to destroy the Iranian economy. Despite Trump’s campaign rhetoric about ending US involvement in endless foreign wars his advisers have repeatedly called for what amounts to regime change in Tehran. Like this story? Share it with a friend! ", https://www.rt.com/usa/477240-iraq-troops-kuwait-embassy/,None
3,From his perch on Twitter President Trump shared a brief video clip showing a line of parked cars set ablaze in Paris on the cusp of the New Year on Tuesday adding only a simple caption: While the motive behind the sizable (and likely quite expensive) 'car-b-que' remains unknown the arson comes amid mass demonstrations around the country in opposition to an overhaul of the French pension system which in some cases have erupted into violent street clashes with riot police. Trade unions and other labor organizations have staged mass strikes and walkouts over the proposal which the government insists will simplify the pension system and ensure it is “fair.” The wave of anti-pension reform demonstrations follows another protest movement sparked last year by a fuel tax hike the 'Yellow Vests' who have continued to stage mass actions intermittently ever since. The two groups joined forces over the weekend in a joint protest to voice discontent with Macron’s government. At President Trump’s direction in 2017 Washington ditched the Paris climate accord a multilateral agreement among a majority of the world’s nations dealing with greenhouse gas emissions and other environmental issues. Dismissing it as “draconian” Trump has repeatedly mocked Macron about the deal since the US withdrawal once even suggesting the accord itself was responsible for the country’s ongoing unrest. If you like this story share it with a friend! , https://www.rt.com/news/477241-trump-macron-protests-climate-accord/,None
4,Taking to Twitter on Tuesday evening hours after the embassy was nearly ransacked by members of the Iraqi Shia militia Kataib Hezbollah protesting against the US airstrike that killed 25 of their own over the weekend Pompeo posted photos purporting to show the alleged perpetrators of the failed storming attempt. “The attack today was orchestrated by terrorists – Abu Mahdi al Muhandis and Qays al-Khazali – and abetted by Iranian proxies – Hadi al Amari and Faleh al-Fayyad. All are pictured below outside our embassy” Pompeo wrote. The photos accompanying the post show the crowd outside the US Embassy on Tuesday Pompeo claimed arguing that the four militia leaders were mingling with the protesters. The top US diplomat did not produce evidence to support the claim that any of the photographed individuals played a role in stirring the unrest itself which was originally sparked by the US bombing raid and drew outrage from the Iraqi government and citizens alike. Pompeo then attempted to make a distinction between “the legitimate efforts of the Iraqi protesters” opposing the government in Baghdad and those behind the embassy attack. While the protests against pervasive corruption and the government’s failure to provide better living conditions for Iraqis have rocked the country since October and saw bloody clashes between security forces and demonstrators Pompeo did not miss a chance to point a finger at Tehran as the main culprit behind Iraq’s internal political woes arguing that corruption was “exported there by the Iranian regime.” Tehran has flatly rejected the allegations that it fanned the unrest slamming Washington’s “audacity” to blame Iran for protests triggered by American airstrikes which the Pentagon claimed were in retaliation for an attack on a US coalition base near the Iraqi city of Kirkuk. Iraq’s economy and infrastructure were left in a shambles after two decades of intermittent war and sectarian violence following the 2003 US invasion which also took a heavy toll on the average citizen leaving many without the most basic services including access to clean water. Think your friends would be interested? Share this story!    , https://www.rt.com/news/477242-iran-terrorists-baghdad-embassy/,None
5,With simmering tensions between Tehran and Washington flaring up over an attack on the US Embassy in Baghdad which the US blamed squarely on Iran without providing any proof there have been growing fears that another war of words could spiral into something far more violent. In an apparent attempt to diffuse the tension Trump said late on Tuesday that he does not foresee a war actually breaking out between the US and Iran. “War with Iran? I don’t think that would be a good idea for Iran... I like peace... I don’t see that happening” Trump told media as he arrived at the grand ballroom at Mar-a-Lago for a New Year bash on Tuesday night. Tehran has vehemently denied allegations that it is somehow complicit in the unrest sparked by US airstrikes that killed 25 members of the Iraqi Shia militia Kataib Hezbollah over the weekend. The American sorties have drawn the ire of the Iraqi government which called the bombing a violation of the country’s sovereignty as well as of militiamen and ordinary citizens who flocked to the US Embassy in Iraq to protest against the airstrikes. Protests turned violent on Tuesday as demonstrators attempted to storm the compound and saw US attack helicopters being scrambled to scatter the protesters after they'd reportedly breached the front gate. In the wake of the attack the Pentagon announced that it would send 750 paratroopers to the Middle East “immediately” in response to the incident which will be followed by “additional forces.” Washington has repeatedly invoked the “Iranian threat” to beef up its military presence in the region having deployed some 14000 troops to the Middle East since May 2019 in addition to about 60000 already stationed there.  Think your friends would be interested? Share this story!  , https://www.rt.com/news/477243-iran-war-trump-not-happening/,None
6,Massachusetts senator and Democratic 2020 hopeful Elizabeth Warren on Tuesday took aim at the president for a US bombing raid ordered on an Iraqi militia over the weekend. American officials accused the group – Kataib Hezbollah – of carrying out a rocket attack on a US base with Iranian backing which killed one American contractor though they have yet to offer any evidence for the claims of responsibility. “Trump’s reckless decisions to walk away from the Iran deal and now to launch airstrikes in Iraq without Iraqi government consent have brought us closer to war and endangered US troops and diplomats” Warren said in a statement online. The US air raid left 25 Iraqi fighters dead and prompted a heated demonstration at the US Embassy in Baghdad on Tuesday afternoon in which militiamen and ordinary citizens breached the front gate of the embassy complex smashing windows and scrawling anti-American slogans on its walls. Senator Tom Udall (D-NM) – who sponsored a bipartisan bill with Kentucky Republican Rand Paul to prevent an “unauthorized war” with the Islamic Republic earlier this year – also weighed in to slam Trump’s response to the unrest which included the deployment of a Marine task force and attack helicopters to defend the embassy. “At a volatile time the Trump administration’s reckless escalation and miscalculation are endangering US citizens &amp; pushing us closer to unauthorized war in the Middle East” Udall wrote in a tweet adding that “Congress needs to step in and stop it.” Democratic presidential candidate and Southbend Indiana Mayor Pete Buttigieg joined his fellow lawmakers on Twitter to attack the president for “mood swings” and making “policy by tweet” arguing his actions in Iraq only served to put US “national interests in harm’s way.” Far from the most dovish Democrat vying for the 2020 nomination however Buttigieg accepted that the policies were a response to “Iranian aggression” despite disagreeing with them. Across the aisle some Republicans were far more supportive fully endorsing the commander-in-chief’s recent moves. Senator Marco Rubio (R-FL) credited Trump with “very solid work” and hailed the Marine deployment as a “decisive action” needed “in a time of crisis” insisting there was “zero question” about who was behind the rocket attack on the US base. One of Trump’s biggest boosters as of late Senator Lindsey Graham (R-SC) also lavished praise on the president after a meeting to discuss the tense situation in Iraq accusing Iran of threatening “American interests” and warning that they do so at their own risk. Comparing the embassy siege to a lethal attack on a US diplomatic facility in Libya in 2012 Graham urged that there be “no more Benghazis.” In the latest US response the Pentagon announced a deployment of some 750 paratroopers to neighboring Kuwait on Tuesday evening which Defense Secretary Mark Esper said could be mobilized in days to “protect our people and interests.” Though few lawmakers have yet weighed in on the new deployment the battle lines in Washington appear to already be drawn. If you like this story share it with a friend! , https://www.rt.com/news/477244-lawmakers-trump-iraq-embassy/,None
7,The video shows a crimson Mini Cooper – with flames coming out of the hood – start its engine and begin driving. The burning vehicle then rams into another car blocking its way trying to push it aside. In a matter of minutes a police patrol arrives to try and put out the fire. A while later something explodes inside the engine hopefully without affecting the first responders. The incident was filmed in Ljubljana the capital of the Balkan country of Slovenia on December 25 but popped up on YouTube only this Monday. Like this story? Share it with a friend!  , https://www.rt.com/news/477246-car-fire-drives-itself/,None
8,A woman seeking the Pope’s blessing on New Year’s Eve instead ended up enraging the pontiff after grabbing his arm to get his attention. A video of the altercation shows Francis walking through Vatican City as he greeted pilgrims. After reaching out to touch a child a nearby woman seized his hand jerking the religious leader around – a yank that appeared to cause him pain. After slapping her hand several times the Pope freed himself of her grip. The usually serene Francis scowled as he walked away. According to reports the Pope later acknowledged that he had “lost patience” with the admiring pilgrim. Francis has a history of repelling unwanted contact. In March he was criticized for refusing to allow members of the faithful to kiss his papal ring during a visit to an Italian shrine. Like this story? Share it with a friend!  , https://www.rt.com/news/477247-pope-francis-woman-slap-hand/,None
9,Chandrayaan-3 India's third lunar exploration mission will attempt to land on the Moon again Jitendra Singh minister of state for department of space confirmed Wednesday. “Yes the [next] lander and rover mission will happen in 2020” he told the media. Singh said the new spacecraft will incorporate lessons learned during last year's Chandrayaan 2 mission which attempted to deploy a lander called Vikram but suddenly fell silent during hard touchdown “within 500m of the designated landing site.” However Chandrayaan 2 can't be seen as failure the official explained. Revealing some details about the mission ISRO chief K Sivan said that Chandrayaan-3 – which is set to launch in November this year – will be similar to its predecessor. “In Chandrayaan-3 we will have landing and rover with propulsion module” he said adding “this is going to be an eventful year for ISRO.” India is striving to become the fourth country after the US USSR and China to land on the Moon. Chandrayaan 2 stands out from other missions as it attempted to land at the little-explored South Pole. It was tasked with gathering data on the lunar surface searching for water and minerals. Among other things the mission’s goal was recording and measuring moonquakes. As part of an ambitious space exploration program India also hopes to launch the Gaganyaan India's first manned mission to space by 2022. ISRO has already done plenty of research and development work on the mission Sivan revealed. He said that four “final astronauts-elect” have been selected and they will start training in Russia “from the third week of January.” Think your friends would be interested? Share this story!  , https://www.rt.com/news/477248-india-third-moon-mission/,None
